post_id,hypothesis_id,published_at,week,format,publisher,variable_value,topic,post_url,snapshot,collected_at,source,impressions,reach,reach_follower_pct,reach_nonfollower_pct,views,likes,comments,saves,shares,profile_visits,follows,follower_count_at_snapshot,save_rate,share_rate,follow_conv_rate,notes
P-S2W0-01,,,S2,reel,,,크루 인터뷰 지니 — 아빠의 조문보를 AI로 (we'vve),,7d,2026-08-25 22:30,screenshot,,1115,23.0,77.0,1768,35,5,1,1,,,,0.0009,0.0009,,시즌2 시딩. 팔로워 분포는 조회수 기준. 공유는 반응 합계에서 역산. 발행일 미상. 반응 합계 42
P-S2W0-02,,,S2,reel,,,크루 인터뷰 단수 — 혼자 배우려다 '같이 하자'로,,7d,2026-08-25 22:30,screenshot,,1245,20.1,79.9,1753,23,10,2,1,,,,0.0016,0.0008,,시즌2 시딩. 팔로워 분포는 조회수 기준. 공유는 반응 합계에서 역산. 발행일 미상. 반응 합계 36
P-S2W0-03,,,S2,reel,,,"크루 인터뷰 스테파노 — 어린이치과 전문의, 진료 도구 직접 제작",,7d,2026-08-25 22:30,screenshot,,1121,19.2,80.8,1579,22,10,3,2,,,,0.0027,0.0018,,시즌2 시딩. 팔로워 분포는 조회수 기준. 공유는 반응 합계에서 역산. 발행일 미상. 반응 합계 37
P-S2W0-04,,,S2,reel,,,크루 인터뷰 웃는 돌 — AI 기획 전문가의 첫 '내 삶 AI',,7d,2026-08-25 22:30,screenshot,,879,14.0,86.0,1186,25,8,1,0,,,,0.0011,0.0,,시즌2 시딩. 팔로워 분포는 조회수 기준. 공유는 반응 합계에서 역산. 발행일 미상. 반응 합계 34
P-S2W3-01,,2026-07-15,S2W3,carousel,봄,,이기적 공유회를 소개합니다 — Week3 라인업/스킬 소개,,7d,2026-08-26 07:42,screenshot,,229,22.8,77.2,859,15,2,1,3,5,0,,0.0044,0.0131,0.0,시즌2 시딩. 발행일은 그래프 시작점 기준 추정. 조회 출처: 스토리 58.1%/피드 28.8%/프로필 9.8%. 연령 25-34 54%·35-44 33.2%. 장별 좋아요 7/5/0/0/2 (표지·라인업에 집중). 리포스트 0
P-S2W1-01,,2026-06-30,S2W1,carousel,,,이기적 공유회를 소개합니다 — Week1 (공유회 소개 초판),,7d,2026-08-26 07:43,screenshot,,296,,,948,33,3,1,0,,0,,0.0034,0.0,0.0,시즌2 시딩. 발행일은 그래프 시작점 기준 추정. coded_in_flow 외 2명 공동 작업. 프로필 방문 미제공(--). 조회 출처: 피드 70.3%/프로필 22.9%. 팔로워/비팔로워 분포 화면 미확보. 리포스트 0
